ID,Customer,Product,Date,Quantity,Rate,Tags
78,Apple,Keyboard,2019/11/02,1,38.41,"Urgent:Discount:Pickup"
79,Facebook,Mouse,2019/11/08,3,47.06,"Discount:Pickup"
80,Facebook,Mouse,2019/11/05,5,37.22,"Urgent:Pickup"
81,LinkedIn,Keyboard,2019/11/13,5,32.93,""
82,Apple,Webcam,2019/11/02,4,27.36,Pickup
83,Facebook,Keyboard,2019/11/21,1,44.05,Pickup
84,Facebook,Headset,2019/11/21,4,46.74,"Urgent:Discount:Pickup"
85,Google,Webcam,2019/11/04,2,36.25,"Discount:Pickup"
86,LinkedIn,Webcam,2019/11/27,5,40.45,Discount
87,Google,Mouse,2019/11/27,4,40.95,"Discount:Pickup"
88,Apple,Webcam,2019/11/22,5,47.84,Urgent
89,Google,Headset,2019/11/17,3,29.93,"Urgent:Discount:Pickup"
90,LinkedIn,Headset,2019/11/21,2,44.28,""
91,Google,Keyboard,2019/11/28,3,25.09,"Urgent:Pickup"
92,Facebook,Headset,2019/11/11,5,31.09,""
93,Apple,Headset,2019/11/08,4,32.17,""
94,LinkedIn,Webcam,2019/11/21,4,47.5,"Discount:Pickup"
95,Google,Mouse,2019/11/13,1,48.62,Urgent
96,Facebook,Mouse,2019/11/09,2,43.94,"Discount:Pickup"
97,Apple,Webcam,2019/11/01,2,47.78,Discount
98,Google,Mouse,2019/11/22,5,42.07,Urgent
99,Apple,Webcam,2019/11/13,5,48.84,"Discount:Pickup"
100,Google,Webcam,2019/11/10,5,39.34,"Urgent:Pickup"
